date,pb_winners,pp_winners,states,total_winners
10/14/2017,2786,1136,New Mexico,3922
10/14/2017,46297,4475,New York,50772
10/14/2017,16714,6526,North Carolina,23240
10/14/2017,733,847,North Dakota,1580
10/14/2017,14341,4151,Ohio,18492
10/14/2017,3526,3286,Oklahoma,6812
10/14/2017,7487,1692,Oregon,9179
10/14/2017,26500,8581,Pennsylvania,35081
10/14/2017,7,2,Puerto Rico,9
10/14/2017,3067,1017,Rhode Island,4084
10/14/2017,6784,5712,South Carolina,12496
10/14/2017,1476,574,South Dakota,2050
10/14/2017,10967,5202,Tennessee,16169
10/14/2017,32950,14358,Texas,47308
10/14/2017,778,618,Vermont,1396
10/14/2017,0,0,Virgin Islands,0
10/14/2017,15407,3808,Virginia,19215
10/14/2017,8475,1411,Washington,9886
10/14/2017,4300,923,West Virginia,5223
10/14/2017,10698,2156,Wisconsin,12854
10/14/2017,871,622,Wyoming,1493
